condition,model,marker,category,citation,orig_mean,rewrite_mean,cohens_d,p_value,pct_change
rewrite_only,gpt54,emo_word_density,Register,Pennebaker et al. 2015,0.0705,0.0754,0.3332,1.517187667152454e-07,6.98
rewrite_only,claude_sonnet,mfw_top50_coverage,Function Words,Burrows 2002; Eder et al. 2016,0.671347993298808,0.5777542638467205,-2.141275557213577,6.083559849691437e-51,-13.941164699427386
rewrite_only,claude_sonnet,mfw_fw_ratio,Function Words,Burrows 2002; Eder et al. 2016,0.4712572704457465,0.42787634342021286,-1.225857284256514,9.269904841619986e-46,-9.205359735776824
rewrite_only,claude_sonnet,vocab_honores_r,Vocabulary,Honoré 1979,1829.037885518078,2402.068714861767,1.822075352677656,3.832477540443129e-49,31.32963148991183
rewrite_only,claude_sonnet,ld_mtld,Vocabulary,McCarthy & Jarvis 2010,69.4687,110.6207,1.7921,5.800384046037405e-50,59.24
rewrite_only,claude_sonnet,wlen_mean,Vocabulary,Mendenhall 1887,3.997370964474503,4.359758061752651,1.6196273468643279,2.393147055623505e-50,9.065635901665381
rewrite_only,claude_sonnet,char_3gram_entropy,Vocabulary,"Stamatatos 2009, 2013",8.79740276439843,9.131382958206578,1.6440733861011485,6.083559849691437e-51,3.7963499313650497
rewrite_only,claude_sonnet,vocab_yules_k,Vocabulary,Yule 1944; Tweedie & Baayen 1998,137.17376645045996,102.6936125289505,-1.1991868742601592,5.624207115983948e-49,-25.136113714543157
rewrite_only,claude_sonnet,slen_mean,Syntax & Punctuation,Williams 1940; Stamatatos 2009,15.888186098426974,16.2892674567789,0.11217802768453633,0.005575775491594186,2.5243999275136684
rewrite_only,claude_sonnet,punct_comma_ratio,Syntax & Punctuation,Stamatatos 2009; Grieve 2007,0.03212498549130149,0.049521641214598254,1.1345849285271812,4.229105446473782e-34,54.1530383819388
rewrite_only,claude_sonnet,punct_dash_ratio,Syntax & Punctuation,Stamatatos 2009,0.0019129864299860736,0.00484536915345101,0.6009023584616217,1.8154160457020565e-17,153.28821352309768
